name,wIn,hIn
obj000.png,0.4720,0.2638
obj001.png,0.4720,0.2638
obj002.png,0.4720,0.2638
obj003.png,1.2778,0.5000
obj004.png,3.0139,0.5000
obj005.png,3.5972,0.5000
obj006.png,1.2911,0.2915
obj007.png,0.8746,0.2499
obj008.png,2.9028,0.2917
obj009.png,0.8611,0.2639
obj010.png,0.2500,0.2222
obj011.png,0.8611,0.2639
obj012.png,0.5970,0.2638
obj013.png,3.9028,0.3194
obj014.png,4.3056,0.4444
obj015.png,1.9028,0.5556
obj016.png,0.1528,0.1944
obj017.png,0.2500,0.2639
obj018.png,2.3611,0.5556
obj019.png,0.1528,0.1944
obj020.png,4.0139,0.5694
obj021.png,5.5833,1.2083
obj022.png,5.7083,2.2083
obj023.png,3.9444,0.3194
obj024.png,4.1944,0.3472
obj025.png,0.9167,0.2778
obj026.png,0.6941,0.4998
obj027.png,4.0278,0.5417
obj028.png,1.9167,0.5000
obj029.png,0.1528,0.1944
obj030.png,1.3466,0.4998
obj031.png,0.1803,0.2081
obj032.png,0.8330,0.3193
obj033.png,0.1528,0.1944
obj034.png,3.4306,0.5000
obj035.png,5.5972,0.5000
obj036.png,5.3194,1.4028
obj037.png,2.1250,0.5000
obj038.png,0.1665,0.2082
obj039.png,0.4165,0.2638
obj040.png,1.7639,0.5278
obj041.png,1.7083,0.2778
obj042.png,1.3466,0.2777
obj043.png,1.2222,0.2778
obj044.png,3.6806,0.5417
obj045.png,1.4722,0.2917
obj046.png,0.7358,0.2638
obj047.png,0.5831,0.1527
obj048.png,0.5000,0.2361
obj049.png,0.2638,0.2360
obj050.png,0.2638,0.2360
obj051.png,0.2638,0.2360
obj052.png,2.2083,0.2778
obj053.png,0.6803,0.5137
obj054.png,0.5000,0.2361
obj055.png,0.6667,0.1667
obj056.png,0.4583,0.2083
obj057.png,5.2500,1.0417
obj058.png,2.0417,0.2778
obj059.png,3.0417,0.5139
obj060.png,5.8194,0.5139
obj061.png,5.6250,0.6667
obj062.png,2.2639,0.8194
obj063.png,0.2358,0.2635
obj064.png,1.7917,0.4861
obj065.png,0.2220,0.2637
obj066.png,0.2220,0.2637
obj067.png,0.2358,0.2635
obj068.png,1.2083,0.2778
obj069.png,2.2639,0.8194
obj070.png,3.5000,0.6806
obj071.png,0.4304,0.2499
obj072.png,0.1528,0.1806
obj073.png,0.5692,0.2082
obj074.png,0.5275,0.2915
obj075.png,0.8194,0.2917
obj076.png,1.3466,0.2915
obj077.png,0.7358,0.2082
obj078.png,3.8750,1.3472
obj079.png,0.6941,0.2638
obj080.png,0.4165,0.2082
obj081.png,1.9583,0.2917
obj082.png,1.2083,0.4861
obj083.png,4.5139,0.6667
obj084.png,1.9306,0.2500
obj085.png,5.3889,1.9028
obj086.png,0.4304,0.2499
obj087.png,1.2083,0.5417
obj088.png,0.1941,0.2496
obj089.png,1.4583,0.5556
obj090.png,6.0556,2.1250
obj091.png,1.0139,0.5000
obj092.png,0.4304,0.5692
obj093.png,1.4306,0.7361
obj094.png,0.1803,0.2081
obj095.png,2.8750,1.5417
obj096.png,0.5831,0.1527
obj097.png,0.5831,0.1666
obj098.png,1.9167,0.5000
obj099.png,0.2775,0.2359
obj100.png,0.1386,0.2633
obj101.png,0.5275,0.2499
obj102.png,1.3883,0.4998
obj103.png,5.6944,1.7917
obj104.png,0.2638,0.2360
obj105.png,1.9722,0.5000
obj106.png,2.1667,0.7500
obj107.png,0.8611,0.2361
obj108.png,5.0694,1.5417
obj109.png,2.5972,0.5417
obj110.png,1.9028,0.7500
obj111.png,0.4583,0.2083
obj112.png,0.5831,0.7358
obj113.png,1.9028,0.7500
obj114.png,4.1944,0.5694
obj115.png,4.4722,0.5694
obj116.png,4.0972,0.7500
obj117.png,3.5000,0.7500
obj118.png,3.4861,0.8611
obj119.png,3.8333,0.5694
obj120.png,4.7778,0.5694
obj121.png,4.9028,0.7500
obj122.png,0.5556,0.2361
obj123.png,1.9028,0.2917
obj124.png,1.6111,0.2917
obj125.png,2.4028,1.7917
obj126.png,5.7500,1.5694
obj127.png,1.2639,0.2778
obj128.png,1.2639,0.2778
obj129.png,0.7219,0.5414
obj130.png,1.4438,0.2777
obj131.png,0.6667,0.2778
obj132.png,0.6667,0.1667
obj133.png,2.5556,0.6250
obj134.png,1.5417,0.8194
obj135.png,1.7361,0.2778
obj136.png,1.2911,0.5831
obj137.png,2.2500,0.5694
obj138.png,2.3611,0.6806
obj139.png,2.6528,0.6806
obj140.png,1.2778,0.5833
obj141.png,1.7639,0.2778
obj142.png,0.4859,0.2082
obj143.png,0.4859,0.2082
obj144.png,1.0000,0.2500
obj145.png,1.1806,0.2778
obj146.png,0.1941,0.2080
obj147.png,4.8333,0.6250
obj148.png,6.0694,1.6667
obj149.png,1.8194,0.6667
obj150.png,1.2778,0.5833
obj151.png,3.8333,0.8194
obj152.png,0.1528,0.1806
obj153.png,5.1528,1.1528
obj154.png,3.2500,0.5972
obj155.png,4.7778,0.8750
obj156.png,5.0139,0.5694
obj157.png,4.0556,0.6528
obj158.png,3.9722,1.4167
obj159.png,1.3194,0.5417
obj160.png,3.7222,2.0694
obj161.png,4.4028,1.1528
